oid,pelanggan,resto,menu,harga,prioritas,t_masuk_detik,t_selesai_detik,status
O-000086,Eva Ardianto,kantin-pusat,es-campur,12000,3,58197,59242,DONE
O-000087,Darmanto Nugroho,kafe-teknik,es-campur,12000,3,39378,40393,DONE
O-000088,Oliva Rahmawati,bakso-pak-yon,gado-gado,15000,2,49924,50304,DONE
O-000089,Hafshah Pradipta,kafe-teknik,es-teh,5000,2,73276,74016,DONE
O-000090,Hesti Nurdiyanti,kantin-asrama,soto-ayam,14000,2,62580,63825,DONE
O-000091,"Dr. Gaduh Tamba, S.T.",kafe-teknik,pecel-lele,18000,2,32631,33881,DONE
O-000092,"Dr. Bahuwarna Wastuti, M.Ak",warung-bu-ida,gado-gado,15000,2,75856,,CANCEL
O-000093,"Cut Gilda Waluyo, S.H.",kantin-pusat,ayam-geprek,19000,2,54583,55598,DONE
O-000094,Najam Suryono,kafe-teknik,mie-ayam,13000,2,27599,29919,DONE
O-000095,"drg. Devi Pradipta, S.E.",kantin-pusat,gado-gado,15000,3,67752,68487,DONE
O-000096,Keisha Gunarto,bakso-pak-yon,gorengan,6000,2,71775,,CANCEL
O-000097,Syahrini Melani,kantin-asrama,kopi-susu,18000,2,77049,79409,DONE
O-000098,Prasetyo Jailani,kantin-asrama,sate-ayam,24000,3,45164,45804,DONE
O-000099,Cahya Adriansyah,bakso-pak-yon,soto-ayam,14000,2,69850,72250,DONE
O-000100,"Farhunnisa Halim, S.Farm",kedai-kopi,bubur-ayam,11000,2,72236,73031,DONE
O-000101,Hendra Winarno,kedai-kopi,gado-gado,15000,2,34130,36295,DONE
O-000102,"Vera Nasyidah, S.Pd",kantin-asrama,teh-tarik,9000,2,66537,68382,DONE
O-000103,"dr. Yuliana Narpati, S.IP",bakso-pak-yon,pecel-lele,18000,2,49541,51521,DONE
O-000104,Vicky Aryani,kafe-teknik,teh-tarik,9000,2,50965,53165,DONE
O-000105,Dwi Nasyidah,bakso-pak-yon,pecel-lele,18000,1,63296,63906,DONE
O-000106,Iriana Prakasa,kedai-kopi,soto-ayam,14000,3,67981,,CANCEL
O-000107,Suci Hidayat,kedai-kopi,es-teh,5000,2,48030,49595,DONE
O-000108,Damu Melani,kantin-pusat,iga-penyet,27000,2,35058,37063,DONE
O-000109,Danu Aryani,warung-bu-ida,air-mineral,4000,2,31201,,ANTRE
O-000110,Bakiadi Nurdiyanti,kedai-kopi,es-teh,5000,2,33967,35227,DONE
O-000111,"Natalia Wacana, S.Farm",kantin-asrama,soto-ayam,14000,3,47702,48832,DONE
O-000112,Salsabila Manullang,warung-bu-ida,iga-penyet,27000,2,68726,70706,DONE
O-000113,Wirda Palastri,kafe-teknik,nasi-padang,25000,3,76579,77989,DONE
O-000114,"Rika Sihombing, S.H.",kantin-asrama,roti-bakar,12000,2,66998,,ANTRE
O-000115,Pangestu Hidayanto,kantin-pusat,roti-bakar,12000,2,37651,38311,DONE
O-000116,"dr. Devi Habibi, S.Gz",kedai-kopi,mie-ayam,13000,1,60791,61706,DONE
O-000117,Drs. Salimah Kuswandari,kantin-pusat,gado-gado,15000,3,44074,45499,DONE
O-000118,Nalar Najmudin,bakso-pak-yon,pecel-lele,18000,2,45481,46626,DONE
O-000119,Cindy Wasita,bakso-pak-yon,kentang-goreng,14000,1,66545,,ANTRE
O-000120,Cengkir Prakasa,warung-bu-ida,nasi-padang,25000,1,48208,48638,DONE
O-000121,Ana Jailani,kedai-kopi,mie-goreng,13000,3,30244,31864,DONE
O-000122,"Dr. Wasis Prasasta, S.Psi",kafe-teknik,mie-goreng,13000,3,77024,78584,DONE
O-000123,"Gasti Novitasari, S.T.",warung-bu-ida,mie-ayam,13000,1,28019,28629,DONE
O-000124,Jagaraga Pratiwi,kantin-asrama,air-mineral,4000,2,62365,,ANTRE
O-000125,Cut Farah Novitasari,bakso-pak-yon,ayam-geprek,19000,3,66230,67025,DONE
O-000126,Ir. Vinsen Irawan,kedai-kopi,kentang-goreng,14000,1,43506,45886,DONE
O-000127,Tgk. Gina Pratiwi,kantin-asrama,bakso,16000,2,57584,59729,DONE
O-000128,Farhunnisa Ardianto,bakso-pak-yon,ayam-bakar,22000,1,39867,40602,DONE
O-000129,Asman Budiyanto,warung-bu-ida,nasi-padang,25000,2,66027,68407,DONE
O-000130,Zaenab Palastri,kantin-asrama,iga-penyet,27000,2,70708,71788,DONE
O-000131,Cakrabuana Nugroho,kantin-asrama,gado-gado,15000,2,35418,37098,DONE
O-000132,Genta Gunarto,kafe-teknik,ayam-bakar,22000,2,62931,64136,DONE
O-000133,Cawuk Hassanah,kantin-pusat,juice-alpukat,17000,2,63968,64828,DONE
O-000134,Rahman Yuliarti,kantin-pusat,air-mineral,4000,3,49936,,ANTRE
O-000135,Restu Damanik,kantin-asrama,pecel-lele,18000,2,67027,,CANCEL
O-000136,Nrima Maheswara,kedai-kopi,air-mineral,4000,1,79038,80883,DONE
O-000137,"Siska Damanik, M.Farm",warung-bu-ida,gorengan,6000,2,32936,33636,DONE
O-000138,"H. Jasmani Wibowo, M.Pd",kantin-asrama,air-mineral,4000,2,43849,45819,DONE
O-000139,Indah Melani,kantin-asrama,es-campur,12000,2,48450,49895,DONE
O-000140,Galang Novitasari,kedai-kopi,pecel-lele,18000,2,41032,41292,DONE
O-000141,"Ir. Daliman Mardhiyah, M.Kom.",kafe-teknik,gorengan,6000,2,49799,50414,DONE
O-000142,Sutan Soleh Padmasari,kafe-teknik,gado-gado,15000,2,67750,69580,DONE
O-000143,Puti Jane Sitorus,kafe-teknik,es-teh,5000,3,41734,44119,DONE
O-000144,Tgk. Qori Jailani,kafe-teknik,sate-ayam,24000,2,63640,,CANCEL
O-000145,Eka Kurniawan,kedai-kopi,roti-bakar,12000,2,39071,39476,DONE
O-000146,"Puti Ifa Prabowo, S.Kom",kantin-asrama,teh-tarik,9000,1,58793,59183,DONE
O-000147,Arsipatra Purnawati,bakso-pak-yon,juice-alpukat,17000,2,45780,46735,DONE
O-000148,Jamalia Lestari,warung-bu-ida,mie-goreng,13000,3,38515,38720,DONE
O-000149,H. Bakda Mandala,kedai-kopi,soto-ayam,14000,3,70865,71665,DONE
O-000150,Puti Rahayu Lestari,kantin-pusat,soto-ayam,14000,1,58634,,CANCEL
O-000151,"Safina Firgantoro, S.E.",kantin-pusat,es-teh,5000,2,55496,56716,DONE
O-000152,Nasab Yolanda,kedai-kopi,kopi-susu,18000,2,75122,76902,DONE
O-000153,Raihan Suryono,kedai-kopi,roti-bakar,12000,3,44920,47170,DONE
O-000154,Gandewa Adriansyah,kedai-kopi,nasi-padang,25000,2,66072,67392,DONE
O-000155,Tgk. Rahmi Permata,kafe-teknik,ayam-geprek,19000,2,62865,64445,DONE
O-000156,T. Raihan Lailasari,bakso-pak-yon,kentang-goreng,14000,2,46208,48608,DONE
O-000157,Dt. Dwi Uyainah,kantin-asrama,roti-bakar,12000,2,41704,42739,DONE
O-000158,Uli Tamba,warung-bu-ida,bubur-ayam,11000,2,59295,60440,DONE
O-000159,Ulya Pratiwi,kafe-teknik,nasi-padang,25000,2,47934,48209,DONE
O-000160,Luluh Wulandari,kedai-kopi,iga-penyet,27000,2,63248,64388,DONE
O-000161,Zamira Hastuti,kantin-asrama,bubur-ayam,11000,2,40192,41687,DONE
O-000162,Wahyu Saputra,warung-bu-ida,iga-penyet,27000,3,49912,52212,DONE
O-000163,Dalima Wasita,kantin-asrama,bubur-ayam,11000,2,45346,,ANTRE
O-000164,Kamila Wibisono,kantin-asrama,iga-penyet,27000,2,56747,57857,DONE
O-000165,"dr. Kalim Wijayanti, S.Gz",kafe-teknik,nasi-campur,20000,2,61677,62457,DONE
O-000166,Sarah Utama,warung-bu-ida,ayam-bakar,22000,1,42177,43667,DONE
O-000167,Elma Dongoran,kedai-kopi,gorengan,6000,2,72957,74152,DONE
O-000168,Teddy Rahmawati,warung-bu-ida,es-campur,12000,2,49860,51105,DONE
O-000169,Karimah Sitompul,bakso-pak-yon,es-teh,5000,2,22686,,ANTRE
O-000170,"Drs. Lega Usamah, S.I.Kom",kantin-asrama,es-campur,12000,3,50145,52440,DONE
O-000171,Elisa Megantara,kafe-teknik,ayam-geprek,19000,2,52441,53506,DONE
O-000172,KH. Satya Wacana,kantin-pusat,roti-bakar,12000,1,70223,72328,DONE
O-000173,"R. Damu Tarihoran, S.H.",kedai-kopi,nasi-padang,25000,2,40627,42077,DONE
O-000174,"dr. Cager Kuswandari, M.M.",bakso-pak-yon,burger-kampus,21000,1,22370,23010,DONE
O-000175,Bakidin Rajasa,kafe-teknik,kentang-goreng,14000,1,54464,54919,DONE
O-000176,"drg. Kamidin Saefullah, M.Ak",kantin-pusat,mie-ayam,13000,2,55438,57603,DONE
O-000177,Ajeng Nugroho,kantin-asrama,nasi-campur,20000,3,72621,74421,DONE
O-000178,R.M. Arta Saragih,bakso-pak-yon,juice-alpukat,17000,3,49675,50650,DONE
O-000179,Michelle Maryati,kantin-asrama,gado-gado,15000,2,46465,46730,DONE
O-000180,Liman Melani,kantin-asrama,nasi-padang,25000,2,43869,45859,DONE
O-000181,Kani Lestari,kantin-asrama,nasi-campur,20000,2,66262,67237,DONE
O-000182,Ika Mulyani,bakso-pak-yon,nasi-goreng,15000,3,55931,,CANCEL
O-000183,Bahuraksa Hastuti,kantin-asrama,es-campur,12000,2,35156,36991,DONE
O-000184,Hj. Lalita Purwanti,kedai-kopi,ayam-bakar,22000,2,67305,69415,DONE
O-000185,Joko Safitri,kedai-kopi,mie-goreng,13000,3,39836,,ANTRE
O-000186,Farah Pudjiastuti,kantin-pusat,juice-alpukat,17000,2,61364,62599,DONE
O-000187,Garda Uyainah,kedai-kopi,kentang-goreng,14000,2,48524,48999,DONE
O-000188,Dr. Silvia Lestari,kantin-pusat,kopi-susu,18000,1,65416,66121,DONE
O-000189,Tasnim Tampubolon,kantin-pusat,soto-ayam,14000,2,27614,29174,DONE
O-000190,"Hj. Shania Mustofa, S.Sos",kantin-pusat,pecel-lele,18000,3,49715,50635,DONE
O-000191,"Carub Rahmawati, S.Gz",kantin-asrama,bakso,16000,3,22694,24904,DONE
O-000192,Mulya Puspita,bakso-pak-yon,burger-kampus,21000,1,41843,44153,DONE
O-000193,Kamaria Natsir,kafe-teknik,kopi-susu,18000,3,45678,47588,DONE
O-000194,Mujur Zulaika,kantin-asrama,iga-penyet,27000,2,43982,45532,DONE
O-000195,Hendra Rajasa,kedai-kopi,air-mineral,4000,2,31006,33286,DONE
O-000196,KH. Hasta Simanjuntak,kafe-teknik,mie-ayam,13000,2,65909,,ANTRE
O-000197,Jessica Yuliarti,kafe-teknik,juice-alpukat,17000,2,75784,77554,DONE
O-000198,"Maida Habibi, S.H.",kantin-pusat,kentang-goreng,14000,2,41288,42658,DONE
O-000199,"Dinda Haryanto, S.IP",kantin-pusat,gorengan,6000,2,61364,63019,DONE
O-000200,dr. Cornelia Gunarto,kantin-asrama,bakso,16000,2,43796,44751,DONE
O-000201,Jamal Pudjiastuti,kafe-teknik,pecel-lele,18000,2,25288,26893,DONE
O-000202,Mala Pradana,bakso-pak-yon,nasi-goreng,15000,2,52360,53180,DONE
O-000203,Kamila Pudjiastuti,bakso-pak-yon,nasi-goreng,15000,2,42516,43906,DONE
O-000204,"Wardi Andriani, S.H.",warung-bu-ida,bubur-ayam,11000,3,78539,78844,DONE
O-000205,"Nabila Farida, M.M.",kafe-teknik,bakso,16000,2,68961,69226,DONE
O-000206,Abyasa Nasyidah,warung-bu-ida,ayam-bakar,22000,3,62893,63858,DONE
O-000207,KH. Satya Wacana,bakso-pak-yon,iga-penyet,27000,3,26780,27720,DONE
O-000208,Taufik Pangestu,kantin-pusat,air-mineral,4000,3,74384,,ANTRE
O-000209,"drg. Kayla Wastuti, S.Ked",kafe-teknik,es-campur,12000,1,48451,48706,DONE
O-000210,Gamblang Nuraini,bakso-pak-yon,ayam-geprek,19000,2,29774,32099,DONE
O-000211,"Aswani Astuti, S.E.",kantin-asrama,burger-kampus,21000,3,51100,53435,DONE
O-000212,Nrima Maheswara,warung-bu-ida,teh-tarik,9000,3,46627,48407,DONE
O-000213,Hardi Pradipta,warung-bu-ida,nasi-goreng,15000,3,54561,56361,DONE
O-000214,"Dr. Dipa Yuliarti, S.E.I",kedai-kopi,pecel-lele,18000,2,62525,64360,DONE
O-000215,"drg. Faizah Prasetya, M.TI.",bakso-pak-yon,teh-tarik,9000,2,31404,32789,DONE
O-000216,Dr. Panji Hartati,kantin-pusat,roti-bakar,12000,2,71775,72265,DONE
O-000217,"Dr. Wira Lestari, S.I.Kom",kantin-pusat,bakso,16000,2,54959,56314,DONE
O-000218,Titi Firgantoro,bakso-pak-yon,burger-kampus,21000,2,75888,76508,DONE
O-000219,"Tgk. Yani Firgantoro, M.M.",warung-bu-ida,nasi-goreng,15000,2,66140,67105,DONE
O-000220,Yuni Irawan,warung-bu-ida,iga-penyet,27000,3,53692,54887,DONE
O-000221,Salman Farida,kedai-kopi,bubur-ayam,11000,2,60177,62322,DONE
O-000222,Karen Wahyudin,kantin-asrama,ayam-geprek,19000,1,73956,,ANTRE
O-000223,"Hj. Jane Marbun, S.IP",kafe-teknik,nasi-goreng,15000,3,64257,65612,DONE
O-000224,"Raden Nainggolan, S.Ked",kantin-pusat,bakso,16000,3,77097,78467,DONE
O-000225,Wirda Palastri,bakso-pak-yon,burger-kampus,21000,1,65954,,CANCEL
O-000226,"H. Daliono Sirait, S.Pd",kantin-asrama,nasi-padang,25000,2,40702,,ANTRE
O-000227,Kania Hidayat,warung-bu-ida,burger-kampus,21000,2,41099,43064,DONE
O-000228,Azalea Saputra,warung-bu-ida,air-mineral,4000,3,52521,53531,DONE
O-000229,"Liman Haryanti, S.IP",kafe-teknik,juice-alpukat,17000,2,54826,56741,DONE
O-000230,Galur Hastuti,bakso-pak-yon,juice-alpukat,17000,1,65761,67266,DONE
O-000231,Tania Palastri,kafe-teknik,pecel-lele,18000,2,38986,40181,DONE
O-000232,Drs. Kayun Prakasa,bakso-pak-yon,gorengan,6000,1,57017,,ANTRE
O-000233,Daryani Damanik,bakso-pak-yon,pecel-lele,18000,2,22496,24506,DONE
O-000234,Darmanto Nugroho,kantin-asrama,mie-ayam,13000,3,29620,31765,DONE
O-000235,drg. Wahyu Usada,kafe-teknik,nasi-padang,25000,2,64456,,ANTRE
O-000236,"drg. Rachel Hutagalung, S.Psi",warung-bu-ida,bakso,16000,2,29021,29711,DONE
O-000237,Ajimat Rajata,kedai-kopi,gado-gado,15000,3,48268,,CANCEL
O-000238,Maimunah Rajasa,warung-bu-ida,ayam-bakar,22000,1,62922,64127,DONE
O-000239,"Ir. Tina Adriansyah, S.Farm",kantin-pusat,es-teh,5000,3,43619,44414,DONE
O-000240,Emong Saptono,kedai-kopi,es-teh,5000,2,50456,51426,DONE
O-000241,Emas Namaga,warung-bu-ida,nasi-padang,25000,3,79174,80614,DONE
O-000242,"dr. Maya Mandala, S.Psi",kedai-kopi,soto-ayam,14000,2,65211,65596,DONE
O-000243,Zaenab Palastri,kedai-kopi,gado-gado,15000,2,63653,,ANTRE
O-000244,Nalar Wahyuni,kantin-asrama,ayam-geprek,19000,3,71088,,ANTRE
O-000245,"Puji Ramadan, M.Pd",kafe-teknik,soto-ayam,14000,2,47928,49988,DONE
O-000246,Michelle Rahimah,kantin-pusat,mie-ayam,13000,2,77605,79095,DONE
O-000247,Cengkir Dabukke,warung-bu-ida,roti-bakar,12000,3,37183,38893,DONE
O-000248,Marsudi Hutasoit,kantin-asrama,es-teh,5000,3,68913,69893,DONE
O-000249,"Balangga Megantara, M.Farm",kedai-kopi,air-mineral,4000,2,43365,43790,DONE
O-000250,Drs. Kamal Firgantoro,kafe-teknik,gado-gado,15000,2,39064,40729,DONE
O-000251,Harjo Sitompul,bakso-pak-yon,burger-kampus,21000,3,25961,27306,DONE
O-000252,"Dr. Yono Namaga, M.TI.",kantin-asrama,ayam-bakar,22000,3,46263,48508,DONE
O-000253,Hardi Hutagalung,kantin-pusat,mie-goreng,13000,2,32399,34604,DONE
O-000254,Ophelia Sirait,kafe-teknik,kentang-goreng,14000,2,77768,,ANTRE
O-000255,Puspa Utami,kafe-teknik,es-teh,5000,3,63428,64023,DONE
O-000256,Daryani Kurniawan,bakso-pak-yon,kentang-goreng,14000,2,78424,,CANCEL
O-000257,Zahra Suryatmi,kantin-asrama,air-mineral,4000,2,50204,51769,DONE
O-000258,Jane Yuliarti,kantin-asrama,nasi-padang,25000,1,23601,24086,DONE
O-000259,"Dt. Bakiono Namaga, M.Kom.",kedai-kopi,roti-bakar,12000,2,49843,50898,DONE
O-000260,Hj. Vivi Halim,kantin-asrama,burger-kampus,21000,3,42788,,CANCEL
O-000261,"Yessi Mangunsong, S.T.",bakso-pak-yon,mie-ayam,13000,2,67686,,CANCEL
O-000262,Uchita Usamah,kafe-teknik,roti-bakar,12000,1,70836,72621,DONE
O-000263,Sutan Reza Manullang,kantin-pusat,gado-gado,15000,2,75289,76634,DONE
O-000264,"Drs. Harsanto Agustina, S.Sos",kafe-teknik,nasi-goreng,15000,2,59902,61617,DONE
O-000265,Wasis Ardianto,kantin-pusat,mie-ayam,13000,1,46078,48458,DONE
O-000266,Hartaka Wahyudin,kantin-pusat,burger-kampus,21000,2,40456,,ANTRE
O-000267,dr. Edi Kuswandari,kedai-kopi,burger-kampus,21000,1,40763,,ANTRE
O-000268,Bakiono Thamrin,bakso-pak-yon,es-campur,12000,2,38645,39400,DONE
O-000269,Melinda Rajata,bakso-pak-yon,iga-penyet,27000,2,45615,47315,DONE
O-000270,Lintang Lestari,kantin-pusat,pecel-lele,18000,2,23326,24151,DONE
O-000271,"Ir. Jinawi Usada, S.Gz",warung-bu-ida,air-mineral,4000,1,49880,50430,DONE
O-000272,Galur Hastuti,kantin-pusat,roti-bakar,12000,1,42194,43314,DONE
O-000273,"Yessi Nurdiyanti, S.Sos",kantin-pusat,pecel-lele,18000,3,71049,,CANCEL
O-000274,Gina Lailasari,kafe-teknik,nasi-goreng,15000,3,48896,51276,DONE
O-000275,Timbul Jailani,warung-bu-ida,gado-gado,15000,3,50029,52319,DONE
O-000276,dr. Ajiman Laksita,bakso-pak-yon,burger-kampus,21000,3,23742,24367,DONE
O-000277,"Adika Melani, S.Psi",kedai-kopi,gado-gado,15000,2,67385,68815,DONE
O-000278,Zulaikha Kuswoyo,warung-bu-ida,air-mineral,4000,3,39795,40755,DONE
O-000279,KH. Dacin Saefullah,warung-bu-ida,gado-gado,15000,2,65900,,CANCEL
O-000280,Bagas Purnawati,kantin-asrama,nasi-padang,25000,3,40754,42739,DONE
O-000281,Maras Pradipta,kedai-kopi,es-campur,12000,2,66286,68336,DONE
O-000282,Artawan Wijayanti,kafe-teknik,air-mineral,4000,2,47251,48001,DONE
O-000283,Anggabaya Thamrin,kedai-kopi,air-mineral,4000,2,66779,67684,DONE
O-000284,Abyasa Astuti,warung-bu-ida,nasi-padang,25000,2,28367,29407,DONE
O-000285,R. Calista Natsir,kafe-teknik,bakso,16000,2,47228,,CANCEL
O-000286,Septi Kuswoyo,kedai-kopi,sate-ayam,24000,2,39766,41881,DONE
O-000287,Samiah Hardiansyah,kafe-teknik,kopi-susu,18000,2,49395,51640,DONE
O-000288,Labuh Rahimah,kedai-kopi,es-teh,5000,2,48437,50712,DONE
O-000289,Puji Winarsih,kantin-asrama,teh-tarik,9000,3,69021,70196,DONE
O-000290,"Raina Narpati, S.Kom",kantin-asrama,nasi-campur,20000,2,26548,26873,DONE
